id,name,kradbcode,kracode,okracode,micode,rtacode,miicode,country_id,ismi,irta,v1_code,is_active,is_deleted,created_by,created_at,modified_by,modified_at,deleted_by,deleted_at,extra_info
1,ANDAMAN & NICOBAR ISLANDS,1,01,035,01,035,035,85,true,true,1,true,false,,,,,,,
2,ANDHRA PRADESH,2,02,028,02,028,028,85,true,true,2,true,false,,,,,,,
3,ARUNACHAL PRADESH,3,03,012,03,012,012,85,true,true,3,true,false,,,,,,,
4,ASSAM,4,04,013,04,013,013,85,true,true,4,true,false,,,,,,,
5,BIHAR,5,05,010,05,010,010,85,true,true,5,true,false,,,,,,,
6,CHANDIGARH,6,06,004,06,004,004,85,true,true,6,true,false,,,,,,,
7,DADRA & NAGAR HAVELI,7,07,026,07,026,026,85,true,true,7,true,false,,,,,,,
8,DAMAN & DIU,8,08,025,08,025,025,85,true,true,8,true,false,,,,,,,
9,DELHI,9,09,007,09,007,007,85,true,true,9,true,false,,,,,,,
10,GOA,10,10,030,10,030,030,85,true,true,10,true,false,,,,,,,
11,GUJARAT,11,11,024,11,024,024,85,true,true,11,true,false,,,,,,,
12,HARYANA,12,12,006,12,006,006,85,true,true,12,true,false,,,,,,,
13,HIMACHAL PRADESH,13,13,002,13,002,002,85,true,true,13,true,false,,,,,,,
14,JAMMU & KASHMIR,14,14,001,14,001,001,85,true,true,14,true,false,,,,,,,
15,KARNATAKA,15,15,029,15,029,029,85,true,true,15,true,false,,,,,,,
16,KERALA,16,16,032,16,032,032,85,true,true,16,true,false,,,,,,,
17,LAKHSWADEEP,17,17,031,17,031,031,85,true,true,17,true,false,,,,,,,
18,MADHYA PRADESH,18,18,023,18,023,023,85,true,true,18,true,false,,,,,,,
19,MAHARASHTRA,19,19,027,19,027,027,85,true,true,19,true,false,,,,,,,
20,MANIPUR,20,20,014,20,014,014,85,true,true,20,true,false,,,,,,,
21,MEGHALAYA,21,21,017,21,017,017,85,true,true,21,true,false,,,,,,,
22,MIZORAM,22,22,015,22,015,015,85,true,true,22,true,false,,,,,,,
23,NAGALAND,23,23,018,23,018,018,85,true,true,23,true,false,,,,,,,
24,ORISSA,24,24,021,24,021,021,85,true,true,24,true,false,,,,,,,
25,PONDICHERRY,25,25,034,25,034,034,85,true,true,25,true,false,,,,,,,
26,PUNJAB,26,26,003,26,003,003,85,true,true,26,true,false,,,,,,,
27,RAJASTHAN,27,27,008,27,008,008,85,true,true,27,true,false,,,,,,,
28,SIKKIM,28,28,011,28,011,011,85,true,true,28,true,false,,,,,,,
29,TAMIL NADU,29,29,033,29,033,033,85,true,true,29,true,false,,,,,,,
30,TRIPURA,30,30,016,30,016,016,85,true,true,30,true,false,,,,,,,
31,UTTAR PRADESH,31,31,009,31,009,009,85,true,true,31,true,false,,,,,,,
32,WEST BENGAL,32,32,019,32,019,019,85,true,true,32,true,false,,,,,,,
33,CHHATTISGARH,33,33,022,33,022,022,85,true,true,33,true,false,,,,,,,
34,UTTARANCHAL,34,34,005,34,005,005,85,true,true,34,true,false,,,,,,,
35,JHARKHAND,35,35,020,35,020,020,85,true,true,35,true,false,,,,,,,
36,OTHER,99,99,099,99,099,099,85,true,true,99,true,false,,,,,,,
37,TELANGANA,36,36,037,36,037,037,85,true,true,36,true,false,,,,,,,
38,LADAKH,37,37,038,37,038,038,85,true,true,37,true,false,,,,,,,