"kpcm_district_city","kpcm_state_code"
"Adilabad","36"
"Agra","31"
"Ahmadabad","11"
"Ahmadnagar","19"
"Ahmed Nagar","19"
"Ahmedabad","11"
"Aizawl","22"
"Ajmer","27"
"Akola","19"
"Alappuzha","16"
"Aligarh","31"
"Alipurduar","32"
"Alirajpur","18"
"Allahabad","31"
"Almora","34"
"Alund","15"
"Alwar","27"
"Ambala","12"
"Ambedkar Nagar","31"
"Amravati","19"
"Amreli","11"
"Amritsar","26"
"Anand","11"
"Anantapur","2"
"Ananthapur","2"
"Ananthnag","14"
"Anantnag","14"
"Angul","24"
"Anugul","24"
"Anuppur","18"
"Araria","5"
"Ariyalur","29"
"Arwal","5"
"Ashok Nagar","18"
"Ashoknagar","18"
"Auraiya","31"
"Aurangabad","19"
"Aurangabad","5"
"Aurangabad(BH)","5"
"Azamgarh","31"
"Badgam","14"
"Bagalkot","15"
"Bageshwar","34"
"Baghpat","31"
"Bagpat","31"
"Bahraich","31"
"Baksa","4"
"Balaghat","18"
"Balangir","24"
"Baleshwar","24"
"Baleswar","24"
"Ballari","15"
"Ballia","31"
"Balrampur","31"
"Banas Kantha","11"
"Banaskantha","11"
"Banda","31"
"Bandipore","14"
"Bandipur","14"
"Bangalore","15"
"Bangalore Rural","15"
"Banka","5"
"Bankura","32"
"Banswara","27"
"Bara Banki","31"
"Barabanki","31"
"Baramula","14"
"Baramulla","14"
"Baran","27"
"Barddhaman","32"
"Bardhaman","32"
"Bareilly","31"
"Bargarh","24"
"Barmer","27"
"Barnala","26"
"Barpeta","4"
"Barwani","18"
"Bastar","33"
"Basti","31"
"Bathinda","26"
"Baudh","24"
"Beed","19"
"Begusarai","5"
"Belagavi","15"
"Belgaum","15"
"Bellary","15"
"Bengaluru","15"
"Betul","18"
"Bhadrak","24"
"Bhagalpur","5"
"Bhandara","19"
"Bharatpur","27"
"Bharuch","11"
"Bhasma","24"
"Bhavnagar","11"
"Bhilwara","27"
"Bhind","18"
"Bhiwani","12"
"Bhojpur","5"
"Bhopal","18"
"Bid","19"
"Bidar","15"
"Bijapur","15"
"Bijapur(CGH)","33"
"Bijapur(KAR)","15"
"Bijnor","31"
"Bikaner","27"
"Bilaspur","33"
"Bilaspur (HP)","13"
"Bilaspur(CGH)","33"
"Birbhum","32"
"Bishnupur","20"
"Bokaro","35"
"Bongaigaon","4"
"Boudh","24"
"Budaun","31"
"Budgam","14"
"Bulandshahr","31"
"Buldana","19"
"Buldhana","19"
"Bundi","27"
"Burhanpur","18"
"Buxar","5"
"Cachar","4"
"Central Delhi","9"
"Chamarajanagar","15"
"Chamba","13"
"Chamoli","34"
"Champawat","34"
"Champhai","22"
"Chamrajnagar","15"
"Chandauli","31"
"Chandel","20"
"Chandigarh","6"
"Chandrapur","19"
"Changlang","3"
"Chatra","35"
"Chennai","29"
"Chhatarpur","18"
"Chhindwara","18"
"Chickmagalur","15"
"Chikkaballapur","15"
"Chikkaballapura","15"
"Chikkamagaluru","15"
"Chikmagalur","15"
"Chitradurga","15"
"Chitrakoot","31"
"Chittaurgarh","27"
"Chittoor","2"
"Chittorgarh","27"
"Churachandpur","20"
"Churu","27"
"Coimbatore","29"
"Cooch Behar","32"
"Cuddalore","29"
"Cuddapah","2"
"Cuttack","24"
"Cuttack Sadar","24"
"Dadra & Nagar Haveli","7"
"Dahod","11"
"Dakshin Bastar Dantewada","33"
"Dakshin Dinajpur","32"
"Dakshina Kannada","15"
"Daman","8"
"Damoh","18"
"Dantewada","33"
"Darbhanga","5"
"Darjiling","32"
"Darrang","4"
"Datia","18"
"Dausa","27"
"Davanagere","15"
"Davangere","15"
"Debagarh","24"
"Dehradun","34"
"Deoghar","35"
"Deoria","31"
"Dewas","18"
"Dhalai","30"
"Dhamtari","33"
"Dhanbad","35"
"Dhar","18"
"Dharmapuri","29"
"Dharwad","15"
"Dhaulpur","27"
"Dhemaji","4"
"Dhenkanal","24"
"Dholpur","27"
"Dhubri","4"
"Dhule","19"
"Dibang Valley","3"
"Dibrugarh","4"
"Dima Hasao","4"
"Dimapur","23"
"Dindigul","29"
"Dindori","18"
"Diu","8"
"Doda","14"
"Dumka","35"
"Dungarpur","27"
"Durg","33"
"East Champaran","5"
"East Delhi","9"
"East Garo Hills","21"
"East Godavari","2"
"East Kameng","3"
"East Khasi Hills","21"
"East Midnapore","32"
"East Nimar","18"
"East Siang","3"
"East Sikkim","28"
"East Singhbhum","35"
"Ernakulam","16"
"Erode","29"
"Etah","31"
"Etawah","31"
"Faizabad","31"
"Faridabad","12"
"Faridkot","26"
"Farrukhabad","31"
"Fatehabad","12"
"Fatehgarh Sahib","26"
"Fatehpur","31"
"Fazilka","26"
"Firozabad","31"
"Firozpur","26"
"Gadag","15"
"Gadchiroli","19"
"Gajapati","24"
"Ganderbal","14"
"Gandhi Nagar","11"
"Gandhinagar","11"
"Ganganagar","27"
"Ganjam","24"
"Garhwa","35"
"Garhwal","34"
"Gariaband","33"
"Gautam Buddha Nagar","31"
"Gaya","5"
"Ghaziabad","31"
"Ghazipur","31"
"Giridh","35"
"Giridih","35"
"Goalpara","4"
"Godda","35"
"Golaghat","4"
"Gomti","30"
"Gonda","31"
"Gondia","19"
"Gondiya","19"
"Gopalganj","5"
"Gorakhpur","31"
"Gulbarga","15"
"Gumla","35"
"Guna","18"
"Guntur","2"
"Gurdaspur","26"
"Gurgaon","12"
"Gwalior","18"
"Hailakandi","4"
"Hamirpur","31"
"Hamirpur(HP)","13"
"Hanumangarh","27"
"Haora","32"
"Harda","18"
"Hardoi","31"
"Hardwar","34"
"Haridwar","34"
"Hassan","15"
"Hathras","31"
"Haveri","15"
"Hazaribag","35"
"Hazaribagh","35"
"Hingoli","19"
"Hisar","12"
"Hooghly","32"
"Hoshangabad","18"
"Hoshiarpur","26"
"Howrah","32"
"Hugli","32"
"Hyderabad","36"
"Idukki","16"
"Imphal East","20"
"Imphal West","20"
"Indore","18"
"Jabalpur","18"
"Jagatsinghapur","24"
"Jaintia Hills","21"
"Jaipur","27"
"Jaisalmer","27"
"Jajapur","24"
"Jalandhar","26"
"Jalaun","31"
"Jalgaon","19"
"Jalna","19"
"Jalor","27"
"Jalpaiguri","32"
"Jammu","14"
"Jamnagar","11"
"Jamtara","35"
"Jamui","5"
"Janjgir-champa","33"
"Janjgir - Champa","33"
"Jashpur","33"
"Jaunpur","31"
"Jehanabad","5"
"Jhabua","18"
"Jhajjar","12"
"Jhalawar","27"
"Jhansi","31"
"Jharsuguda","24"
"Jhujhunu","27"
"Jhunjhunun","27"
"Jind","12"
"Jodhpur","27"
"Jorhat","4"
"Junagadh","11"
"Jyotiba Phule Nagar","31"
"K.V.Rangareddy","36"
"Kabirdham","33"
"Kachchh","11"
"Kaimur (Bhabua)","5"
"Kaithal","12"
"Kalaburagi","15"
"Kalahandi","24"
"Kalimpong","32"
"Kamrup","4"
"Kamrup Metropolitan","4"
"Kancheepuram","29"
"Kanchipuram","29"
"Kandhamal","24"
"Kangra","13"
"Kanker","33"
"Kannauj","31"
"Kanniyakumari","29"
"Kannur","16"
"Kanpur Dehat","31"
"Kanpur Nagar","31"
"Kanshiram Nagar","31"
"Kanyakumari","29"
"Kapurthala","26"
"Karaikal","25"
"Karauli","27"
"Karbi Anglong","4"
"Kargil","37"
"Karim Nagar","36"
"Karimganj","4"
"Karimnagar","36"
"Karnal","12"
"Karur","29"
"Kasaragod","16"
"Kasargod","16"
"Kathua","14"
"Katihar","5"
"Katni","18"
"Kaushambi","31"
"Kawardha","33"
"Kendrapara","24"
"Kendujhar","24"
"Khagaria","5"
"Khammam","36"
"Khandwa","18"
"Khandwa (East Nimar)","18"
"Khargone (West Nimar)","18"
"Kheda","11"
"Kheri","31"
"Khorda","24"
"Khordha","24"
"Khunti","35"
"Kinnaur","13"
"Kiphire","23"
"Kishanganj","5"
"Kishangarh","27"
"Koch Bihar","32"
"Kodagu","15"
"Kodarma","35"
"Koderma","35"
"Kohima","23"
"Kokrajhar","4"
"Kolar","15"
"Kolasib","22"
"Kolhapur","19"
"Kolkata","32"
"Kollam","16"
"Koppal","15"
"Koraput","24"
"Korba","33"
"Koriya","33"
"Kota","27"
"Kottayam","16"
"Kozhikode","16"
"Krishna","2"
"Krishnagiri","29"
"Kulgam","14"
"Kullu","13"
"Kupwara","14"
"Kurnool","2"
"Kurukshetra","12"
"Kurung Kumey","3"
"Kushinagar","31"
"Lahul & Spiti","13"
"Lakhimpur","4"
"Lakhisarai","5"
"Lakshadweep","17"
"Lalitpur","31"
"Latehar","35"
"Latur","19"
"Lawngtlai","22"
"Leh","37"
"Lohardaga","35"
"Lohit","3"
"Longleng","23"
"Lower Dibang Valley","3"
"Lower Subansiri","3"
"Lucknow","31"
"Ludhiana","26"
"Lunglei","22"
"Madhepura","5"
"Madhubani","5"
"Madurai","29"
"Mahabub Nagar","36"
"Mahabubabad","36"
"Mahamaya Nagar","31"
"Maharajganj","31"
"Mahasamund","33"
"Mahbubnagar","36"
"Mahe","25"
"Mahendragarh","12"
"Mahesana","11"
"Mahoba","31"
"Mahrajganj","31"
"Mainpuri","31"
"Malappuram","16"
"Malda","32"
"Maldah","32"
"Malkangiri","24"
"Mammit","22"
"Mandi","13"
"Mandla","18"
"Mandsaur","18"
"Mandya","15"
"Mansa","26"
"Marigaon","4"
"Mathura","31"
"Mau","31"
"Mayurbhanj","24"
"Medak","36"
"Meerut","31"
"Mewat","12"
"Mirzapur","31"
"Moga","26"
"Mohali","26"
"Mokokchung","23"
"Mon","23"
"Moradabad","31"
"Morbi","11"
"Morena","18"
"Morigaon","4"
"Muktsar","26"
"Mumbai","19"
"Mumbai Suburban","19"
"Munger","5"
"Murshidabad","32"
"Muzaffarnagar","31"
"Muzaffarpur","5"
"Mysore","15"
"Mysuru","15"
"Nabarangapur","24"
"Nadia","32"
"Nagaon","4"
"Nagapattinam","29"
"Nagaur","27"
"Nagpur","19"
"Nainital","34"
"Nalanda","5"
"Nalbari","4"
"Nalgonda","36"
"Namakkal","29"
"Nanded","19"
"Nandurbar","19"
"Narayanpur","33"
"Narmada","11"
"Narsimhapur","18"
"Narsinghpur","18"
"Nashik","19"
"Navsari","11"
"Nawada","5"
"Nawanshahr","26"
"Nayagarh","24"
"Neemuch","18"
"Nellore","2"
"New Delhi","9"
"Nicobar","1"
"Nilgiris","29"
"Nizamabad","36"
"North & Middle Andaman","1"
"North 24 Parganas","32"
"North And Middle Andaman","1"
"North Cachar Hills","4"
"North Delhi","9"
"North Dinajpur","32"
"North East Delhi","9"
"North Goa","10"
"North Sikkim","28"
"North Tripura","30"
"North Twenty Four Parganas","32"
"North West Delhi","9"
"Nuapada","24"
"Osmanabad","19"
"Pakur","35"
"Palakkad","16"
"Palamau","35"
"Palamu","35"
"Pali","27"
"Panch Mahals","11"
"Panchkula","12"
"Panipat","12"
"Panna","18"
"Papum Pare","3"
"Parbhani","19"
"Paschim Bardhaman","32"
"Paschim Medinipur","32"
"Pashchim Champaran","5"
"Pashchimi Singhbhum","35"
"Patan","11"
"Pathanamthitta","16"
"Pathankot","26"
"Patiala","26"
"Patna","5"
"Pauri Garhwal","34"
"Perambalur","29"
"Peren","23"
"Phek","23"
"Pilibhit","31"
"Pithoragarh","34"
"Pondicherry","25"
"Poonch","14"
"Porbandar","11"
"Prakasam","2"
"Pratapgarh","31"
"Puducherry","25"
"Pudukkottai","29"
"Pulwama","14"
"Punch","14"
"Pune","19"
"Purba Bardhaman","32"
"Purba Champaran","5"
"Purba Medinipur","32"
"Purbi Singhbhum","35"
"Puri","24"
"Purnia","5"
"Purulia","32"
"Puruliya","32"
"Rae Bareli","31"
"Raebareli","31"
"Raichur","15"
"Raigarh","19"
"Raigarh","33"
"Raigarh(MH)","19"
"Raipur","33"
"Raisen","18"
"Rajauri","14"
"Rajgarh","18"
"Rajkot","11"
"Rajnandgaon","33"
"Rajouri","14"
"Rajsamand","27"
"Ramanagar","15"
"Ramanagara","15"
"Ramanathapuram","29"
"Ramban","14"
"Ramgarh","35"
"Rampur","31"
"Ranchi","35"
"Rangareddy","36"
"Ratlam","18"
"Ratnagiri","19"
"Rayagada","24"
"Reasi","14"
"Rewa","18"
"Rewari","12"
"Ri Bhoi","21"
"Rohtak","12"
"Rohtas","5"
"Ropar","26"
"Rudraprayag","34"
"Rupnagar","26"
"Sabar Kantha","11"
"Sabarkantha","11"
"Sagar","18"
"Saharanpur","31"
"Saharsa","5"
"Sahibganj","35"
"Sahibzada Ajit Singh Nagar","6"
"Saiha","22"
"Salem","29"
"Samastipur","5"
"Samba","14"
"Sambalpur","24"
"Sangli","19"
"Sangrur","26"
"Sant Kabir Nagar","31"
"Sant Ravidas Nagar","31"
"Sant Ravidas Nagar (Bhadohi)","31"
"Saraikela-Kharsawan","35"
"Saran","5"
"Satara","19"
"Satna","18"
"Sawai Madhopur","27"
"Sehore","18"
"Senapati","20"
"Seoni","18"
"Seraikela-kharsawan","35"
"Serchhip","22"
"Shahdol","18"
"Shahid Bhagat Singh Nagar","26"
"Shahjahanpur","31"
"Shajapur","18"
"Sheikhpura","5"
"Sheohar","5"
"Sheopur","18"
"Shimla","13"
"Shimoga","15"
"Shivamogga","15"
"Shivpuri","18"
"Shrawasti","31"
"Shupiyan","14"
"Sibsagar","4"
"Siddharthnagar","31"
"Sidhi","18"
"Sikar","27"
"Simdega","35"
"Sindhudurg","19"
"Singrauli","18"
"Sirmaur","13"
"Sirohi","27"
"Sirsa","12"
"Sitamarhi","5"
"Sitapur","31"
"Sivaganga","29"
"Sivasagar","4"
"Siwan","5"
"Solan","13"
"Solapur","19"
"Sonapur","24"
"Sonbhadra","31"
"Sonipat","12"
"Sonitpur","4"
"South 24 Parganas","32"
"South Andaman","1"
"South Delhi","9"
"South Dinajpur","32"
"South Garo Hills","21"
"South Goa","10"
"South Sikkim","28"
"South Tripura","30"
"South Twenty Four Parganas","32"
"South West Delhi","9"
"Sri Potti Sriramulu Nellore","2"
"Srikakulam","2"
"Srinagar","14"
"Subarnapur","24"
"Sultanpur","31"
"Sunabeda","24"
"Sundargarh","24"
"Sundergarh","24"
"Supaul","5"
"Surat","11"
"Surendra Nagar","11"
"Surguja","33"
"Tamenglong","20"
"Tapi","11"
"Tarn Taran","26"
"Tawang","3"
"Tehri Garhwal","34"
"Thane","19"
"Thanjavur","29"
"The Dangs","11"
"The Nilgiris","29"
"Theni","29"
"Thiruvallur","29"
"Thiruvananthapuram","16"
"Thiruvarur","29"
"Thoothukkudi","29"
"Thoubal","20"
"Thrissur","16"
"Tikamgarh","18"
"Tinsukia","4"
"Tirap","3"
"Tiruchirappalli","29"
"Tirunelveli","29"
"Tiruppur","29"
"Tiruvallur","29"
"Tiruvannamalai","29"
"Tiruvarur","29"
"Tonk","27"
"Tuensang","23"
"Tumakuru","15"
"Tumkur","15"
"Tuticorin","29"
"Udaipur","27"
"Udalguri","4"
"Udham Singh Nagar","34"
"Udhampur","14"
"Udupi","15"
"Ujjain","18"
"Ukhrul","20"
"Umaria","18"
"Una","13"
"Unnao","31"
"Upper Siang","3"
"Upper Subansiri","3"
"Uttar Bastar Kanker","33"
"Uttar Dinajpur","32"
"Uttara Kannada","15"
"Uttarkashi","34"
"Vadodara","11"
"Vaishali","5"
"Valsad","11"
"Varanasi","31"
"Vellore","29"
"Vidisha","18"
"Vijayapura","15"
"Villupuram","29"
"Viluppuram","29"
"Virudhunagar","29"
"Visakhapatnam","2"
"Vizianagaram","2"
"Warangal","36"
"Wardha","19"
"Washim","19"
"Wayanad","16"
"West","9"
"West Champaran","5"
"West Delhi","9"
"West Garo Hills","21"
"West Godavari","2"
"West Kameng","3"
"West Khasi Hills","21"
"West Midnapore","32"
"West Nimar","18"
"West Siang","3"
"West Sikkim","28"
"West Singhbhum","35"
"West Tripura","30"
"Wokha","23"
"Yadgir","15"
"Yamuna Nagar","12"
"Yamunanagar","12"
"Yavatmal","19"
"YSR","2"
"Zunhebotto","23"
